cant believe this at time thought its bad south africa am really fortunate this country we are liberated informed,en,,
this how much hate seeing underage gets pregnant,en,,
teen pregnancy teen drugs addicted philippines was manila philippines years some girls do heroin,en,,
live philippines always thought womens right here protected being most gender neutral country asia clearly was wrong this sad disgusting,en,,
really age of consent philippines its my first time hear this thought its same with legal age,en,,
government must should put all girls boarding schools why cant people who took vedios ask govrnment,en,,
we had sliver of hope with passage of reproductive health act but critical provisions of law was held unconstitutional by supreme court lawmakers care more of their quotreligionquot quotmoralsquot than these girls,en,,
hirap na nga sa buhay pero gumagawa pa agad ng anak putangina,tl,,
disgusting year old pervert,en,,
happy land doesnt seem happy at all me,af,,
deeply sad,es,,
this country among others dire need of serious reform guidance level of sheer ignorance from governor was just unbelievable,en,,
education must this country,en,,
ayan pilipinas pinoy bakit di priority ang adukasyon damihan pa ang anak at malugmok nlang sa habangbuhay na kahirapan,tl,,
nothing unhealthy about having baby at whats unhealthy having baby at,en,,
this definitely got my blood boiling year old they are still children sigh this crazy,en,,
sad thing theres really no media coverage about this people need be aware thing about our government they wont do anything unless theres an outrage from people its fking sad,en,,
am soooooooo angry,so,,
amazing,sw,,
religion bad relationship with jesus christ good,en,,
this pedophilia,en,,
this crazy,en,,
one less mouth feed hear phrase physically makes me sick core here newfoundland we will literally take off our plates see someone else eatits crazy how different hard certain parts of world,en,,
nonces,it,,
shes bit looks like kathryn bernardo,af,,
stupid people living backward country with brainwashed believes they are beyond help,en,,
baby at ill take her shes adorable sigh,en,,
poor country dirty backwards country,en,,
girls should finish school can be allowed have child dont rush girl ull still find love no matter what just have patience finish school ull have something give ur kids future,en,,
minutes into this its disgusting way young taking advantage of these children,en,,
im from philippines am really lucky because am studying eat times day can buy want because of my parent im very thankful my parent,en,,
these peeps are stupid,en,,
kathryn bernardo look alike c maymay,tl,,
honestly these girls will struggle having kids they will struggle provide would tell my daughter this,en,,
all see exploitation ignorance coercion kids being taken advantage of this depressing,en,,
dont see those catholic churches pay little moms raising their babies children wheres god they need him morally practically logically even physically,en,,
its hard poor filipinos behighlyeducated as high school mean educationis notfreetostudents phillipinesei think filipino governmentmustintervene education system them,en,,
christian society,en,,
what kind of miserable life this,en,,
god not given rightful place kingship every home has great negative implications society degeneration moral decay abounds very sad disheartening see decline loss decay of morality my own country innocence purity chastity of minors are all thrown into gutter be feasted on by dogs whoever must have passed law age of consent years old must be mentally unsound have sold his soul satan because absolutely not right totally demonic totally agree with vice gov dennis socrates who what un not god only run by just mere people who maybe some are godless unbelievers at all at end of our life personally spiritually not between united nations us but god us,en,,
governments must invest on sexual education teach children they deserve enjoy their childhood etc before having babies,en,,
my heart aches those girls age of my kids at summer camp not being assaulted by culture encourages this rape of nation of girls no one does anything them,en,,
fact lady said problem not only young girls giving birth but economy not being able benefit off of them disgusts me,en,,
still love watching this kind of video than cartoons,en,,
ang masasabi ko lang ay tangina nanggigil ako sa mga batang yan di man lang inisip future nila alam ko di nila gusto yung nangyari pero bakit hindi nila kinasuhan sila na nga yung masisira ang buhay pinairal pa yung kalandian tsk tsk,tl,,
this literally opposite of japans problem lmao,en,,
whatever islam teaches us good us at least we know which family we belong who our father,en,,
look how trashed area,en,,
nerve of this woman quotwe should charge people with crimes even witnesses contradict our narrativequot duterte needs find his coconuts kick these scheming ngos out of country,en,,
yearolds getting pregnant by year olds uncommon nice propaganda from qatar where women must wear trashbags over their heads public cannot drive or vote,en,,
argh government loses money government dont do enough help poor dont go talking about government losing money its governments fault people live slums,en,,
wala lang gusto ko lang mag rant yawa wag ko lang kayo makita kita dito iitakin ko kayo chaaaarrr bente uno tamang duyan duyan lang bawal lumabas hakhakhak,tl,,
correction please legal age or age of consent philippines not children below are considered minors please get your facts straight,en,,
felt sick woman explained how she performed abortions these women deserve better,en,,
quotand having no access contraception can have tragic consequencesquot shows clip of flies mating lmao,en,,
title itself quotthe baby factoryquot absurd please dont generalize through this situation on this documentary about our country think some of people who make their comments was just based by watching this not pleasing documentary of aljazzera please roam around our country not only depressed area such as featured here see beauty of people places,en,,
actually duterte suggested three child policy since most of stupid politician dont like but yep still denied pathetic country feel like even they make child policy they will still not allowing poor education system makes this country worse,en,,
lady who practice abortions pray at altar before aborted baby wtf,en,,
feel bad these young girls their kidsthis one of reasons why my mom always reminds me not going places like bars avoid such negative results,en,,
no,tl,,
still wont date no single mothers lol,en,,
was philippines unusual high number of children shocked me guessed was mostly because of catholic church also guessed philippines must be hotbed foreign peodophiles but really didnt imagine problem was much more bigger truly horrific,en,,
s lahat nlng ng kalokohn sikat ang pinoy,tl,,
this sexual abuse issue consent at years thats child why are these older men preying on young girls laws need be changed,en,,
gandang bata,tl,,
cant force people have babies not offer contraception expect teen pregnancies go down sorry,en,,
they should teach those teens condoms are much cheaper than raising child,en,,
contraceptive must be used whether like or not catholic community doesnt help god help but need think future of your kids make there life better,en,,
all my body shaking shuddering this cruel,en,,
oh my god,cy,,
catholic church problem third countries as wants control every aspect of society by blocking laws religion politics are dangerous mix of poison can kill any one who are against their draconian medieval thinking,en,,
such sad state of affairs religious dogma lot blame,en,,
live philippines am actually saying myselfquotanong kaputanginahan itoquotwhat kind of bullshittery this,en,,
how many of those ultraconservatives visit yearold girls those slums rape them,en,,
they should work on their language usagethese biodonors are rapists pedophiles,en,,
im moving there marry my fiance my heart bleeding already im giver cant see myself walking past these poor children without offering some kind of help or offering how can people be cruel yet precious at same time,en,,
catholics hypocrites im christian,en,,
its too painful watch,en,,
there are literally no words define how outraged am this even happens,en,,
believe filipinos have been trick by europeans exloited they want see them suffer catholics have all wrong,en,,
one of many reasons wish adopt girls from hereso they can have an actual future,en,,
goodness gracious church does not belive contraceptives no abortion legal consent dropped normalize this how crazy this mess,en,,
im really feel very sorry these young girls they look innocent poverty biggest problem lack of education hope there government will help them recover them from this kind of situation,en,,
please dont abort killing human big sinthe embrion whit monts have everything hands heart brain they cut him pieces whit scissors instrument suck off he scare thry escape scissors saw film of abortion was shocked google see lord bless all,en,,
ik second gross sleeping with year old but at least his still there taking care of his responsibilities some men just leave these poor girls,en,,
my oh my x,cy,,
catholics want babies their pedophile ring this why they say its bad too educate allow prevention,en,,
know this very old video moment gone my opinion doesnt really matter before but really need share thisas filipino religious side of philippines has caused more problems than solving themi dont even think they solve anyreligion has always been hindrance growth of philippines people here tend listen someone no matter how corrupt or selfish heshe by just saying word god or lord everything they say good morale was already dead this country mix religion with religion was nothing but lie becomes shield anyone did something wrong becomes weapon can be used destroy something they considered as wrong punishments tends become wrong this country people deserve punishment are still walking freely because punishing someone who did wrong wrong because punishing wrong dont even know why they have jails here bad people still freely walks all aroundbut what do know right im my opinion doesnt matteri just said what couldnt say here,en,,
capo on guitar clearly god has blessed him with talent,en,,
more advanced usa they legally slice baby penises take skin off then hold celebration israel too,en,,
over throw catholic if priests are not abusing girls they should have advised raise age better have protestants just like woman helping girls were evangelical christian,en,,
here go catholic church again ruining childrens lives nothing changes scumbags,en,,
wait what twelve oh my had my first period at,en,,
wow thats heartbreaking havent been moved while,en,,
now dont like word consent,af,,
some of us have no idea how grateful we should be our life,en,,
imagine todays modern times protection women children against abuse of all kinds people are afforded childhood opportunity become someone,en,,
got very teary watching this stuff how this world does any sensible person decide year old girl ready be wife mother absolutely pathetic,en,,
catholic church evil controlling,en,,
little baby puppy needs be fed,en,,
best way explaning this young people by telling them if girl gets pregnant guy becomes young father their future will be ruinedthey cannot continue with thier studies they will consume time spending taking care of their childquotthat should be explainationquot deep explaination will not help,en,,
such sad story its children having children called men more like monsters sleep with these young girls should be punished its absolutely disgusting,en,,
omg this really breaks my heart im pain,en,,
cant blame government everythingthere something we call parentingthey need talk with child or childrenif they are feeling awkward then nothing will change if cant raise educate child then dont make children or have sxbecause they will only suffer at end they are themselves child who cant take her own care on top of they live poverty,en,,
its every where around worldnot only philippines,en,,
omg dirty this place,en,,
this crazy graduate,en,,
philippines wake up guys sana makita yu nang mga taong makaktulong sa iba,tl,,
this why many poor countries remain poor poor keep having children at young ages because of lack of education keeps them cycle of poverty then have asshats like governor who believe all life sacred regardless of circumstances who choose turn blind eye at reality logistics of situation,en,,
this not normally thats exactly why religion extremely dangerous people are just ignorant stupid nobody doing anything about this situation continue destroy young lives would slaps these mens who think they can do what ever they want totally disgusting stupid,en,,
now we understand little more reason such poverty philippines,en,,
wtf,cy,,
leave philippines alone solving its own problem sick people look your own filthy backyards first before looked at others are bunch of hypocrites,en,,
can barely find words convey how feel after watching this its heartbreaking seeing what these children are going through feel like lobbying of government much needed act help deal with this issue year old barely able deal with their own body not speak of growing baby giving birth vicious cycle here not good anyone wish more people would realize this,en,,
happens only squaters areapoor family have many childrenrich family or onlythats why poor becomes poorest ang rich becomes richer,en,,
,unknown,,
theres many wrongs this whew,en,,
honestly dont think education would help them since church one making immoral regulate their family,en,,
evidently filipino culture all responsibility blame unwanted pregnancies are dumped on girls shoulders what about those grownss males constantly prowling on females especially younger ones misleading them surrender their bodies andor sexually assaulting them government church should combine efforts educate men be responsible make them accountable their actions all family members should be educated too,en,,
give them all cell phones with plenty of games they will enjoy them more than making babies,en,,
as what catriona said quot lack of child support not poverty killed their dreamsquot,en,,
yo have children im years old had no one of child its not fair,en,,
bring all those children catholic church let them feed them give those kids good future,en,,
philipineback islamyou will be save peace,en,,
those poor girls,en,,
soon whites n yellow become ext,en,,
good future economic think of market,en,,
legal limit tourist are aware of this fact also its cesspool pedophilia those poor girls cant do anything about they are exploited because they are poor this angers me no end there no protection them,en,,
there should be some type of program those absent fathers an accountability consequence their actions if they can get someone pregnant without some kind of penalty their minds its no big dealthere should be something will make them think before they get someone pregnant leave,en,,
filipinos want unlimited babies just like unlimited txt,et,,
church cares more about money,en,,
if ask me thats just another way keep poor poor,en,,
catholic never was church of god bc they were evil there regime they teach falsely doctrines were contraceptive they dominate many country though people are still unconscious just sad,en,,
its not always those young girls faults some parents just dont know how raise well their kids too,en,,
this hard watch outsiders influences your country this were american like travel,en,,
evil lurks heart of men,en,,
thats great expose people place they can get meds an abortion sake of news story,en,,
wtf are we living dark ages fukn invade philippines,en,,
this man looks hella oldlike about arrest him,et,,
if united nations wants help people they should find ways one help countries produce food but help guide people use birth control,en,,
id rather young girl use contraception than die of an abortion gone wrong,en,,
lived philippines almost years legal age this years thing load of bollocks asked my filapina wife about she had never heard of,en,,
social welfare officer not activethere enough fund someone like her programs counselling education too,en,,
he says hes hmmmm im then,en,,
oh got just another stupid video against pro life movement huh,en,,
this unbelievable,en,,
at legal age of amp consents what kind fk parents country its wrong no moral or real heart,en,,
this fact video of living poverty parents are basically absent there are no easy answers or villains blame,en,,
vice governer very correct im surprised hear this of an philipino government should be held responsible fund proper social relations but of their social families responsibilities notice how its justified women creating baby businues out of her lifestyle her continual financial support,en,,
but notice how its justified women creating baby businues her continual financial support,en,,
shouldnt set getting contraceptives consent at same year seem bit um,en,,
los filipinos son maravillosos,es,,
thats why our president now rodrigo duterte against this bishops catholic churches corrupt,en,,
church sounds brain washing with no contraception think root of problem sexual assault problem many have said they were forced or groomed into this disgusting men forcing them selfs into young girls,en,,
what wrong with authority government,en,,
result of early boyfriend lazy go school,en,,
avoid like should go school first dont enter relationship early,en,,
yan kasi ang babata pa ay nag bo boyfriend na d pa nga nila alam kung gaano ka hirap ang buhay boyfriend na kc ang inatupag tapos duon ma realize pag huli na,tl,,
there much wrong this country leaded by pure idiots ages,en,,
poverty problem lack of knowladge teach them about,en,,
sigh,da,,
this why cant stand religionits not believing something its forcing nonsense unto others,en,,
have lot of batchmates are already mother im sad them because instead of being student theyre at home taking care of their babies,en,,
my problem with religion,en,,
soon philipines will overtake indonesia as th largest population worldviva la philipinas,en,,
title of this video disgusting baby factory really its pretty obvious most of these girls were sexually assaulted,en,,
with year old boyfriend omg,en,,
if are poor must have or kids become super poor,en,,
problem they didnt go school education those parent didnt protect their daughter law again child abuse seem not working this country poor goverment need change corupsy,en,,
using javanese gamelan music as background misleads your audiences,en,,
this breaks my heart,en,,
misleading reporter said age of consent philippines should be years old majority age or legal age even if with consent long as he or she minorbelow years old then rape,en,,
age of consent im filipino didnt know till now im my parents still barely consents me sleepovers im guy,en,,
heartbreaking,en,,
disgusting disgusting disgusting where feminism need them they love cry shout us about their unequality but why not here,en,,
girls are naive same as me was lock down by my parents all my life educated my self by watching this kinds of topics now adays teenage pregnancy normal,en,,
angelas story reminds me of sickening law we have here quotmarriage extinguishes criminal liability of rapequot,en,,
extreme religious people are some of stupidest people sometimes,en,,
sad,so,,
have see yourself this problem never ever going away education key,en,,
this sad,en,,
almost year old didnt know she was bruhhh lies tell,en,,
legal consent years old dont think philippines constitution doesnt allowed this maybe parental consent or social norm,en,,
this ridiculous,en,,
omg this crazy twelve years old age of consent,en,,
hes still feel proud of what he did,en,,
wt,pl,,
thank lord providing me amp family with good food water home air health thank lord,en,,
why tf age of consent,en,,
por que tiene el ttulo en espaol y no tiene subtitulos,es,,
anyone what shunt this priest up,en,,
use condoms problem solved,pt,,
increasing population even good economic perspective population power japan korea now needs grow population because its decreasing,en,,
its not its ffs stop spreading false news,en,,
philippines joke,fi,,
its pretty sad most intelligent thing someone said was teen boy pushing contraception he knows teenagers are stupid make mistakes knows youre already poor situation baby can only worsen especially third world countries,en,,
consent at age of,en,,
he kinda looks like james franco,et,,
priestly rhetoricis he providing children having children,en,,
wtf child cannot consent at,en,,
very sad story,sk,,
abstinence reality shows people dont follow this advice its worthless teach,en,,
with or without religion good people can behave well bad people can do evil but good people do evil takes religion steven weinberg,en,,
now am subscribed,en,,
did not know al jazeera makes such good reportages thank from israel love light jen lt,en,,
all complains about this but your not doing anything help situation there,en,,
go condoms pills no more children an such young ageand go school or work dont make family at young age,en,,
where her parents then,en,,
dont just love religion always making problems of world times worse,en,,
thats false legal age here philippines those involved with sexual intercourse with minor already statutory rape women children have equal rights here our country we had seminars regarding vawc law violence against women children government gave monthly allowances children whore enrolled encourage them go school have an education we even have out of school youth programs etc philippines now beginning change more more people are now aware more brave voice out have stand but there are still parents who ignore these services chose live way this not cultural or religion thing this poverty ignorance but despite all these hardships country wont stop thinking of ways help our fellow men women,en,,
sicki bet if they stopped children having children then there would not be as many poor peopl,en,,
big problem think gap between rich poor philippines there no middle class world rich grow up much different than world this poor village,en,,
baby factory sounds bit goofy but hides harsh reality poverty lack of education healthcare religious presence does little patriarchal mindset lack of political will an accurate though crude cruel appropriate name would be insect factory at least describes apathy government people have species as an age of consent ridiculous does not even begin describe,en,,
im from philippines at age of still dont have boyfriend its all about your parents lecturing selfmotivationim one of believer virginity best gift could ever give your husband,en,,
them eyebrows looking like an upside down nike logo,af,,
stupid called expert at talks about how these girls wont be able enter economyjob market since they cant go school because they are having babies there no viable economy or job market them even if they graduate from high school look at squalor they live giving them diploma isnt going suddenly create job them need create an economy provides jobs with livable wage then can address other issues,en,,
this sicks my stomach,en,,
what an awful vicious cicle which could be broken with education actions from third party other than their ignorant families worthless government,en,,
not how say asuncion,en,,
how can teach abstinence into culture allows coercion rape,en,,
catholic priest blind his mind closed doubt any god wants anything do with,en,,
poor woman philippines they sell themselves,en,,
tangina mo ka proud ka pa gago ka pala e may kanang anak tapos dumagit ka pa ng bata puro ka kalibugan hayup ka,tl,,
have been there many times there lot of homeless kids sad,en,,
this why church state should be separated,en,,
sterilization only way out no kidding,en,,
gives sensible answer problem,da,,
this sad see my wife filipino kids half now see why my ex parents didnt like me but were ok with my ex dating her year old boyfriend at its sad,en,,
how come im years old but still not pregnant single cmon teenage girls stop rushing having child or bf just enjoy being single atnd child jhie nga po pala from laguna philippines,en,,
forget sending red cross send obgyns sterilize birth control,en,,
catholicism destroying lives of these young people notice what guy talking min says quotwe believe our innate capability of controlling ourselvesquot lie we cannot control ourselves statistics show,en,,
nakakalungkot lang may mga gantong mga bata na nag dadaanan sa gantong buhay buong video na toh ang bigat ng pakiramdam mo hayssssobrang nakakalungkot,tl,,
catholic colonization indoctrination miseducation leads europeanizedie valueless values societythey were living harmony until spaniard came,en,,
some of women seeking abortions are probably side chicks of these conservative politicians how can ban birth control but age of consent,en,,
magkano lang ang sahod ng dhw sa barangay tapos yung simbahan di naman tumutulong sa penancial kundi sila lang ang may penancial,tl,,
see your child suffering they eat one plate allplease stop make child girl,en,,
its yrs old mr chao not yrs old,cy,,
catholic church complacent this problem,en,,
child being brought up way type of environment without choicejust sad not fair if one cannot provide decent life child then dont have one,en,,
my channel about philippines welcome my friends,en,,
church government has failed them,en,,
poverty not enough education government let this happen cos they all are paedophiles,en,,
religion government should never mix,en,,
oh boy if was muslim country commentary would have been different lol,en,,
this scary why country doesnt take precautions prevent this these girls lives are getting destroyed by such prematured pregnancy its pretty worst scenario there bangldesh also had same problem but its developing here people are getting more aware about young girls safety higher education,en,,
more paedophilia than partnership parents r useless as well consenting happen im catholic but im all contraceptive measures should b womens choice decision what she wants do with her body,en,,
lord thank,en,,
those people s need use condoms,en,,
they running away from condoms,en,,
president should focus on education n family planning more than drugs,en,,
astaga,tl,,
any yet she she still smiles pretty one too,en,,
how much cost baby maker gusto ko na mag karoon ng sariling anak,tl,,
im filipino this sad but true underprivileged underrepresented suffer extreme comes poverty hunger while politicians just keep on going making their money oh well,en,,
white lady working w agency angers me its not teen pregnancy problem once again women are blamed these type of situations problem sexual assault old men dont know how keep their hands off of young girlsits horrible,en,,
catholics ruining evereything since time memorial,en,,
as member of un philippine should follow its rules if cant do better leave un dont get any financial help from united nations,en,,
indians pakistanis can do ten times more than this,en,,
im filipino didnt know already an age of consent wtf,en,,
joker have fuckup childhood im going do crimeyo filipina hold my placenta,en,,
no problem separate boys girls school play society they wont get pregnant imprison parents allowing children be together,en,,
dont even dare think about making girl pregnant coz know wont be able bare coz am not stable enough plus have sisters believe karma guys over there are making girls pregnant without having any money or stable job,en,,
really couldnt care less if are pro life or prochoice really dont but anyone prolife readantiabortion type pro life people please please love of god dont force child go through her pregnancy if she doesnt want if she wants an abortion dont forcefully stop her shes dam child with life ahead of her no real love partner if child ur fighting hard bring hisher birth about going suffer cruelly with hunger poverty no education mother who will never really be able love care her unwanted baby not fate worse than death furthermore if are pro life then fight childs dam life baby girls birth means nothing if her life means suffering pregnancy at dropping outta school working until shes nearly dead from exhaustion her kid cuz her boyfriend left please fight her life not her birth her life,en,,
hindi ko alam tunkol dito sa lugar na happyland sexual assault isnt good girl nor boy filipino ako pero dont think this even allowed sa pilipinas nakakasakit sa damdamin knowing na pati yung bata nagsusuffer,tl,,
philippines lousy country girls will try get pregnant with foreigners trapping them,en,,
japan many opportunities why they are very busy no time make family making babiesin philippines no opportunity why they have many time making babies,en,,
philippines counter part of japan philippines has problems on over growing population while japan they have problems about perishing population philippines yrs old not virgin anymore japan yrs old still virgin haha,en,,
this should be stop government needs know about make move right now this affects country barangay should visit houses check educate them not all kids can be taught school because there are kids who dont go school sad devastating god bless everyone,en,,
girl at prettyi bet shes banging nowwahihihi guys theyre young they want older illwomenwhen they get old they want young girlsim going on vacation next yr hope find gf atleast yrs old rangewahihihi,en,,
these chinese garters are out of hand,en,,
this unbelievable where are her parents how can state allow this happen this widening gap between poor rich,en,,
did anyone see week old baby had teeth,af,,
did he say legal age of consent,en,,
country which has crazy president what best could expect from him,en,,
its about educating women an awareness about early pregnancy its consequences correct information about contraceptives,en,,
this tragic this nothing more than bunch of pedophile predators twisting catholic religion make ok rape little girls consent at age years old but its illegal her protect herself from pregnancy until shes quotcrisisquot not teenage pregnancy its rampant immoral pedophilia,en,,
this child pregnancy not teenage pregnancy,en,,
whats wrong with giving your own child advices about contraceptives thats more natural thing talk about with your momim speechless,en,,
this shameful stupid country with stupid laws spineless men disgusting,en,,
are many disgusting things about this country will never visit,en,,
disgusting philippines,tl,,
its way all over asia europe,en,,
kahawig nya sii kathryn bernardo,tl,,
slums act like tubataha reef or benham risethe stock from there,en,,
sarap suntukin tong si rodelginawa niyang kabit ang years old kung si sir raffy tulfo ang kaharap motatawagin kang pedo,tl,,
what are or who r,en,,
on family orientation,en,,
god bless christian even more,en,,
sexually only problem,en,,
sexually problem,ca,,
got kids phillipine feels good have money,en,,
guy lopus dei yeah explains lot,fr,,
oh my god got my first periode at yo cant imagine being mother at yo,en,,
very sad,sk,,
he chose girl over his wife because hes afraid some case might be filed against him doea adultery ring bell,en,,
yes indeed manhating feminist have been let loose this one but if think philippines bad just take visit india check out their government hospitals absolutely appalling im sorry but this age of consent exist mostly very poorest of areas where live philippines dont see twelveyearolds pregnant or giving birththis super young birthing seems be something happens among poorest most uneducated but of course feminist man haters will all cry out toxic masculinity,en,,
age of consent but theyre not allowed get contraceptives on their own until makes literally no sense,en,,
thinks its problem of education as well,en,,
corporate capitalism underlying cause of poverty documentary does not identify multinational corporations work hand glove with central banks extract countrys wealth leaving breadcrumbs people,en,,
by james trussell one out of every women aged becomes pregnant each year united states not problem usa,en,,
this video sick cant watch its too much,en,,
pretty sure student speaking around isnt thirsting girls,en,,
all these people are pretty god bless yall im praying these people,en,,
geez yrs really,cy,,
age of consent but they cant get birth control without parents permission until theyre wtf some of these poor girls dont even have parents,en,,
fill bad these kids as most them r still kids not only man rapping my eyes as there older but making them have child mother aggress think its also neglect some of as mother rather let them go they no longer ave feed them abortion lady wonder how many kids dies from her bleeding out just money cruel sad world,en,,
am twelve years old am half europian half filipino im just reminding guys whole country isnt poverty filled with pregnant teens this very poor island,en,,
philippines needs educate their boys,en,,
please stop all shouldnt let young girls get married early age,en,,
its not just philippines its all over world lol think guys are clean,en,,
please change mayor too philippines guys are playboy,en,,
this documentary just made me angry at ignorance of parents of suffering girls most off girls were rapedsickeningand hiding behind religion they will rot hell according their actions their beleifshow stupid,en,,
lack of proper education lack of security these young girls too much blind faith religion very little healthcare,en,,
poorchildren,nl,,
these disgusting acts take place poor countries,en,,
this sad man pray these women wake up one day,en,,
vice governor an idiot omg blind what happening his country no vision future,en,,
filipino govt needs raise age of consent limit couples child per couple much like china used do change thinking omg,en,,
think believe best way prevent this build stronger foundation of persons religious views just like my born again church we believe much greater power which god himself with him we shouldnt associate ourselves with such acts or if we already had associated before we should stop repent sins we had committed do not attack certain religious organization here but as converted christian believe best way raise your child godfearing environment love father wholeheartedly he or she might not do something will result into sin again just wanted help my view,en,,
country with no divorce law age of consent set at sexual contraceptives are seen as sinful by church senatecatholic churches encourage youth freely quotmultiplyquot as much as they desirea senate thats against medical marijuana but are secretly behind various drug tradesif wish see modern day sodom or gomorrah go angeles city where prostitution drugs are unbelievably rampantblood on streets on daily basis due drug related issuesin manila was ranked th on list of worlds most stressful cityin naia was ranked as worst airport worldincluded top list worst countries workers rightsalmost everything can be bought price especially silencetruly my beloved country has been overrun by hypocrisy dont blame anyone this but if devil real then im certain he made this once beautiful country his very throne,en,,
unnecessary burdens imposed by religion consequences of,en,,
its actually dillematic about such poor girl condition they can press charge man who impregnated them by law but they just dont do since their daily life depending on those men who feed them give money daily life if man put jail they should find money on their own problem they are less educated finding proper job will be really difficult even whit another burden of who will take care kids,en,,
guatemala age of consent its freaking sad see this legal,en,,
must taught your daughters how not open their legsthats only guaranteed protraction,en,,
wowthat backstreet abortionist evil af,en,,
but if we condemn artificial chemicals our food why do we think contraceptives are good these girls,en,,
snip snip snip,lt,,
wow religion really makes people blind ignorant,en,,
age consent should be change at least parents should have no right making decisions on if file charges or not because their own interest who takes girls out of their hands,en,,
then why they need producde such as huge baby community,en,,
lots of comments are funny but guys we have take this seriously know this true problem we have be thankful we dont have get pregnant at we can still watch spongebob or something at we should be grateful our lives see how poor they are how lucky we can beso take moment be thankful we dont live through,en,,
mai mai wattt thts my name,sw,,
im shock know age of consent philippines im filipino thought was,en,,
poor girls,nl,,
yrs old boyfriend should be charged rape child molestation put behind bars long time,en,,
theres no hope left humanity people get cruel by minute,en,,
well where was born girls had go through sexual education classes before they menstruate education came from last year medical students ladies they have do free of charge as social education class win win win situation my classes no girl got pregnant all of them finished their education all of them received profession any question,en,,
this ridiculous preventing pregnancy sin but letting child live poverty way rest of his life not sin people need educate themselves rather than listen church religion,en,,
catholic church does not care if people are impoverished as long as they keep producing more catholics further increase churchs power influence,en,,
catholic church primary promoter of unplannedunwanted pregnancy on earth also prime promoter of unsafe illegal abortion,en,,
third world country with third world expectations totally tragic,en,,
omg video at were really look like my younger sister they look alike am surprisingly found this video saw they are look alike oh my god,en,,
yo steve hit me up wid dm,en,,
wait her boyfriend met someone else took their children with him,en,,
surely pedophiles paradise,en,,
sad,so,,
thats why us prohibited by god be such relationships before proper marriage parents have teach their children whats right what wrong dont allow your daughters at such age have grown up boyfriends,en,,
messed up culture with crappy laws,en,,
world its crazy,en,,
this child rapethis should never be ok any culture poor little girls,en,,
they need better education laws preventing these girls from being sexualized laws would criminalize predators contraceptives will not help these young girls from being assaulted rather would mask their troubles only,en,,
thank catholic church unwanted pregnancies caused name of banning abortions,en,,
poor girls even if have your consent shouldnt have kids or years of age these guys are literally pedo my society its like child marriages our culture which are now banned,en,,
he blaming her losing baby but was his fault sexually assault her got her pregnant she didnt know she was pregnant she clearly didnt know consequences she got hurt she shouldnt be experiencing this at such young age,en,,
que tristeza esta est vida como la hisieron puro sufrimiento,es,,
this giving me an overall look into how women young girls are being treated all over world we are being subjugated by using all forms known mankind im literally sick their being taken advantage of these babies are coming into world not knowing whats going on,en,,
hold up he says they had been together year claims he didnt know she was suspicious disgusting,en,,
this sad cant believe all of these countries allow child molestation disgusting makes my hear heart,en,,
gross,af,,
where did get info of age of consent,en,,
catholic church just causing same problems as any other religion prevents development logical thinking ban them from institutions like school thank,en,,
ay aj doing something right,en,,
ironic news station funded by promoting ideals of islamic brotherhood making shows about child abuse exploitation of females,en,,
most of family planning were always blamed at ladys fact should be both men should have vasectomy he has atleast children all boys should put jail they neglected their child not force young lady use contraceptive,en,,
holly mother of god this sad heart breaking,en,,
those type of mens are worse than pigspoor girls,en,,
pedophiles run rapport philippinesfml,fr,,
what lit candle every fetus abortedand are ready do again againwhat distorted mind,en,,
what rubbish,en,,
this why soo many political men travel phillaphines have encounters with children,en,,
they feed me wellyou mean sifting through trash working his family,en,,
mother mary helping them,en,,
breeding like rabbits making babies main cause poverty philippines they have no regards innocent kids suffering people who cant feed cloth put roof over their child sending them school should have no business making babies hundreds or even thousands of children begging streets of philippines daily seems normal filipinos philippines refuses wake up just ignores whos blame high rate of poverty answer very obvious filipinos making babies pi seems like hobbyjust totally sad,en,,
no parents here philippines would give their consent their minor child one sided reporters,en,,
poor philippines im sad my country,en,,
wtf was all think of just playing games hangout with my friends this just messed up,en,,
why they wanted children if they cant afford them this highly irresponsible,en,,
am from philippines its horrible because lot of times girls get raped by relatives,en,,
girls eyebrows makes me uncomfortable,en,,
lot of people still uses religion as slavery further their agenda these girls are babies gods sake man liar saying he didnt know her age this twisted they should bebin school getting an education sick,en,,
am catholic have met many catholics been churches such even my priest knows if were god forbid assaulted should get choice let fetus grow or not my church always let us know we are charge of our bodies god will forgive us whatever decision we choose am not sure why most people try input religion whatever viewpoint they want this wrong should not be acceptable,en,,
more hear about philippinesthe less want visitsingle moms percent dont go there seek future marriage partner,en,,
as pastor have say live pure program garbage gender identity sexual identity not simple was moronic say least says something guy singing songs look cool ignores teenagers getting pregnant by rape says yiu can keep ur pants like these youths fault this just brainwashing totally irresponcible of catholic church statistics say all things church claims they are against like premarital pregnancy divorce etc happens at exactly same percentage church as does outside of what religion teaches we are all same we all have capacity much good much harm human condition hope we claim we are all able be good bc we are created good this such sad story,en,,
its all our faultwe make them look pitiablebut they are all illiterate fooolsso stop piitying this lusty girlthey know what they are doingand let them sufferto understand better,en,,
no proud be filipino comments here or not proud comes truth,en,,
this kind of case because of quotpleasurequot of both partners without gaining information knowledge at end children inherited suffering just what parents do feel pityquot worse scenario biological parents will just leave themanyway at end they will pay price,en,,
